# step, loss function, Y0, learning rate, running time
1.170000000000000000e+02,3.553155095266258172e+02,6.202549751936240341e+01,1.000000000000000000e+00,3.080868387222290039e+01
1.180000000000000000e+02,2.683284641530537442e+02,6.225917862660988789e+01,1.000000000000000000e+00,3.089226555824279785e+01
1.190000000000000000e+02,1.976970336997933941e+02,6.249593201517470931e+01,1.000000000000000000e+00,3.097749471664428711e+01
1.200000000000000000e+02,2.275500605059800705e+02,6.272816770941317088e+01,1.000000000000000000e+00,3.106095194816589355e+01
1.210000000000000000e+02,1.980002610106374163e+02,6.293649830862503336e+01,1.000000000000000000e+00,3.115002179145812988e+01
1.220000000000000000e+02,2.305115321331071812e+02,6.313277760110185710e+01,1.000000000000000000e+00,3.123974490165710449e+01
1.230000000000000000e+02,2.439991092615899788e+02,6.332456615518397314e+01,1.000000000000000000e+00,3.132327103614807129e+01
1.240000000000000000e+02,2.149702032432127510e+02,6.352922791417935144e+01,1.000000000000000000e+00,3.141281414031982422e+01
1.250000000000000000e+02,2.181668926229705221e+02,6.373930689808293693e+01,1.000000000000000000e+00,3.149726390838623047e+01
1.260000000000000000e+02,2.090212714635546547e+02,6.397177450338622151e+01,1.000000000000000000e+00,3.158295392990112305e+01
1.270000000000000000e+02,2.898271012886563653e+02,6.421064118447195312e+01,1.000000000000000000e+00,3.166684603691101074e+01
1.280000000000000000e+02,2.046439024323614149e+02,6.444419847343699814e+01,1.000000000000000000e+00,3.175103902816772461e+01
1.290000000000000000e+02,2.596568175547400301e+02,6.467195096021286815e+01,1.000000000000000000e+00,3.183439826965332031e+01
1.300000000000000000e+02,2.574429592439630596e+02,6.489505023052191746e+01,1.000000000000000000e+00,3.192310619354248047e+01
1.310000000000000000e+02,2.816897640935428626e+02,6.511274734249619200e+01,1.000000000000000000e+00,3.200713276863098145e+01
1.320000000000000000e+02,1.806602571349120581e+02,6.533748562055133391e+01,1.000000000000000000e+00,3.209320735931396484e+01
1.330000000000000000e+02,2.413570494125057166e+02,6.556362082520135459e+01,1.000000000000000000e+00,3.217834210395812988e+01
1.340000000000000000e+02,3.314568827824524533e+02,6.576909589226599451e+01,1.000000000000000000e+00,3.226350855827331543e+01
1.350000000000000000e+02,2.044886612100982859e+02,6.595092001623257261e+01,1.000000000000000000e+00,3.234692072868347168e+01
1.360000000000000000e+02,3.478017197880536742e+02,6.611604630322725029e+01,1.000000000000000000e+00,3.243437457084655762e+01
1.370000000000000000e+02,1.928446295455124471e+02,6.627689782923036432e+01,1.000000000000000000e+00,3.251799488067626953e+01
1.380000000000000000e+02,2.152460167799954149e+02,6.644294744339916292e+01,1.000000000000000000e+00,3.260450911521911621e+01
1.390000000000000000e+02,1.707717004918883958e+02,6.659608695929424016e+01,1.000000000000000000e+00,3.268941903114318848e+01
1.400000000000000000e+02,2.437825230757187001e+02,6.673264636291270335e+01,1.000000000000000000e+00,3.277485632896423340e+01
1.410000000000000000e+02,1.702450223505845770e+02,6.685956123030929632e+01,1.000000000000000000e+00,3.285808324813842773e+01
1.420000000000000000e+02,3.285543929574283766e+02,6.697009030594081480e+01,1.000000000000000000e+00,3.294499540328979492e+01
1.430000000000000000e+02,2.190029896142576433e+02,6.708163056507341082e+01,1.000000000000000000e+00,3.302860736846923828e+01
1.440000000000000000e+02,2.582220547012291831e+02,6.719495918440979665e+01,1.000000000000000000e+00,3.311443161964416504e+01
1.450000000000000000e+02,2.388764230663073249e+02,6.731049405962876619e+01,1.000000000000000000e+00,3.320350742340087891e+01
1.460000000000000000e+02,2.369254686345085759e+02,6.742193539846005024e+01,1.000000000000000000e+00,3.329449200630187988e+01
1.470000000000000000e+02,1.485516431114694740e+02,6.753823986003749269e+01,1.000000000000000000e+00,3.337970280647277832e+01
1.480000000000000000e+02,2.168797342535113444e+02,6.766340381894492850e+01,1.000000000000000000e+00,3.347024059295654297e+01
1.490000000000000000e+02,2.422584504421678275e+02,6.778837913395662440e+01,1.000000000000000000e+00,3.355486226081848145e+01
1.500000000000000000e+02,2.178884235548837864e+02,6.791938490879863366e+01,1.000000000000000000e+00,3.364091444015502930e+01
1.510000000000000000e+02,1.963612068974381089e+02,6.805343991171631046e+01,1.000000000000000000e+00,3.372547149658203125e+01
1.520000000000000000e+02,2.058003407776386382e+02,6.819405736526577755e+01,1.000000000000000000e+00,3.381197047233581543e+01
1.530000000000000000e+02,2.080896007021089531e+02,6.832818750122892482e+01,1.000000000000000000e+00,3.389566826820373535e+01
1.540000000000000000e+02,2.215306653213606580e+02,6.846633896067586988e+01,1.000000000000000000e+00,3.398226499557495117e+01
